senderTs,senderMbps,receiverTs,receiverMbps
1635.0,0.0,1635.0,0.0811
1636.0,0.0,1636.0,0.0348
1637.0,0.0,1637.0,0.0116
1638.0,0.0,1638.0,0.0348
1639.0,0.521,1639.0,0.0
1640.0,0.0,1640.0,0.0463
1641.0,0.0,1641.0,0.0695
1642.0,0.0,1642.0,0.0811
1643.0,0.0,1643.0,0.0695
1644.0,0.0,1644.0,0.0695
1645.0,0.0,1645.0,0.0811
1646.0,0.0,1646.0,0.0695
1647.0,0.0,1647.0,0.0579
1648.0,0.0,1648.0,0.0811
1649.0,0.521,1649.0,0.0695
1650.0,0.0,1650.0,0.0695
1651.0,0.0,1651.0,0.0579
1652.0,0.0,1652.0,0.0
1653.0,0.0,1653.0,0.0232
1654.0,0.0,1654.0,0.0232
1655.0,0.0,1655.0,0.0811
1656.0,0.0,1656.0,0.0927
1657.0,0.0,1657.0,0.0811
1658.0,0.521,1658.0,0.0695
1659.0,0.0,1659.0,0.0579
1660.0,0.0,1660.0,0.0811
1661.0,0.0,1661.0,0.0811
1662.0,0.0,1662.0,0.0695
1663.0,0.0,1663.0,0.0695
1664.0,0.0,1664.0,0.0579
1665.0,0.0,1665.0,0.0579
1666.0,0.521,1666.0,0.0
1667.0,0.0,1667.0,0.0232
1668.0,0.0,1668.0,0.0348
1669.0,0.0,1669.0,0.0463
1670.0,0.0,1670.0,0.0695
1671.0,0.0,1671.0,0.0579
1672.0,0.0,1672.0,0.0695
1673.0,0.0,1673.0,0.0811
1674.0,0.0,1674.0,0.0695
1675.0,0.0,1675.0,0.0811
1676.0,0.521,1676.0,0.0927
1677.0,0.0,1677.0,0.0695
1678.0,0.0,1678.0,0.0579
1679.0,0.0,1679.0,0.0579
1680.0,0.0,1680.0,0.0
1681.0,0.0,1681.0,0.0463
1682.0,0.521,1682.0,0.0348
1683.0,0.0,1683.0,0.0579
1684.0,0.0,1684.0,0.0579
1685.0,0.0,1685.0,0.0695
1686.0,0.0,1686.0,0.0695
1687.0,0.0,1687.0,0.0695
1688.0,0.0,1688.0,0.0463
1689.0,0.0,1689.0,0.0695
1690.0,0.0,1690.0,0.0811
1691.0,0.0,1691.0,0.0579
1692.0,0.0,1692.0,0.0579
1693.0,0.0,1693.0,0.0
1694.0,0.521,1694.0,0.0348
1695.0,0.0,1695.0,0.0116
1696.0,0.0,1696.0,0.0579
1697.0,0.0,1697.0,0.0579
1698.0,0.0,1698.0,0.0695
1699.0,0.0,1699.0,0.0695
1700.0,0.0,1700.0,0.0579
1701.0,0.0,1701.0,0.0927
1702.0,0.0,1702.0,0.0811
1703.0,0.0,1703.0,0.0579
1704.0,0.0,1704.0,0.0695
1705.0,0.0,1705.0,0.0695
1706.0,0.521,1706.0,0.0579
1707.0,0.0,1707.0,0.0
1708.0,0.0,1708.0,0.0
1709.0,0.0,1709.0,0.0348
1710.0,0.0,1710.0,0.0116
1711.0,0.0,1711.0,0.0348
1712.0,0.521,1712.0,0.0579
1713.0,0.0,1713.0,0.0579
1714.0,0.0,1714.0,0.0579
1715.0,0.0,1715.0,0.0695
1716.0,0.0,1716.0,0.0695
1717.0,0.0,1717.0,0.104
1718.0,0.0,1718.0,0.0463
1719.0,0.0,1719.0,0.0579
1720.0,0.0,1720.0,0.0695
1721.0,0.0,1721.0,0.0695
1722.0,0.0,1722.0,0.0463
1723.0,0.0,1723.0,0.0
1724.0,0.0,1724.0,0.0
1725.0,0.521,1725.0,0.0116
1726.0,0.0,1726.0,0.0463
1727.0,0.0,1727.0,0.0463
1728.0,0.0,1728.0,0.0579
1729.0,0.0,1729.0,0.0579
1730.0,0.0,1730.0,0.0579
1731.0,0.0,1731.0,0.0811
1732.0,0.0,1732.0,0.0579
1733.0,0.0,1733.0,0.0579
1734.0,0.0,1734.0,0.0695
1735.0,0.0,1735.0,0.0695
1736.0,0.521,1736.0,0.0463
1737.0,0.0,1737.0,0.0463
1738.0,0.0,1738.0,0.0348
1739.0,0.0,1739.0,0.0
1740.0,0.0,1740.0,0.0
1741.0,0.0,1741.0,0.0348
1742.0,0.0,1742.0,0.0116
1743.0,0.0,1743.0,0.0463
1744.0,0.0,1744.0,0.0579
1745.0,0.0,1745.0,0.0695
1746.0,0.0,1746.0,0.0811
1747.0,0.0,1747.0,0.104
1748.0,0.0,1748.0,0.0927
1749.0,0.0,1749.0,0.0927
1750.0,0.521,1750.0,0.0463
1751.0,0.0,1751.0,0.0463
1752.0,0.0,1752.0,0.0579
1753.0,0.0,1753.0,0.0
1754.0,0.0,1754.0,0.0
1755.0,0.521,1755.0,0.0
1756.0,0.0,1756.0,0.0116
1757.0,0.0,1757.0,0.0348
1758.0,0.0,1758.0,0.0
1759.0,0.0,1759.0,0.0348
1760.0,0.0,1760.0,0.0927
1761.0,0.0,1761.0,0.116
1762.0,0.0,1762.0,0.0695
1763.0,0.0,1763.0,0.0927
1764.0,0.0,1764.0,0.0811
1765.0,0.0,1765.0,0.0579
1766.0,0.0,1766.0,0.0695
1767.0,0.0,1767.0,0.0695
1768.0,0.0,1768.0,0.0811
1769.0,0.0,1769.0,0.0232
1770.0,0.521,1770.0,0.0
1771.0,0.0,1771.0,0.0
1772.0,0.0,1772.0,0.0116
1773.0,0.0,1773.0,0.0348
1774.0,0.0,1774.0,0.0116
1775.0,0.0,1775.0,0.0811
1776.0,0.521,1776.0,0.0811
1777.0,0.0,1777.0,0.0695
1778.0,0.0,1778.0,0.0579
1779.0,0.0,1779.0,0.0695
1780.0,0.0,1780.0,0.0695
1781.0,0.0,1781.0,0.0811
1782.0,0.0,1782.0,0.0579
1783.0,0.0,1783.0,0.0695
1784.0,0.0,1784.0,0.0579
1785.0,0.0,1785.0,0.0811
1786.0,0.0,1786.0,0.0695
1787.0,0.0,1787.0,0.0927
1788.0,0.0,1788.0,0.0579
1789.0,0.521,1789.0,0.0463
1790.0,0.0,1790.0,0.0348
1791.0,0.0,1791.0,0.0811
1792.0,0.0,1792.0,0.0695
1793.0,0.0,1793.0,0.0463
1794.0,0.521,1794.0,0.0579
1795.0,0.0,1795.0,0.0695
1796.0,0.0,1796.0,0.0695
1797.0,0.0,1797.0,0.0348
1798.0,0.0,1798.0,0.0579
1799.0,0.0,1799.0,0.0695
1800.0,0.0,1800.0,0.0463
1801.0,0.0,1801.0,0.0348
1802.0,0.0,1802.0,0.0348
1803.0,0.521,1803.0,0.0695
1804.0,0.0,1804.0,0.0811
1805.0,0.0,1805.0,0.0695
1806.0,0.0,1806.0,0.0695
1807.0,0.0,1807.0,0.0463
1808.0,0.0,1808.0,0.0695
1809.0,0.0,1809.0,0.0579
1810.0,0.0,1810.0,0.0348
1811.0,0.0,1811.0,0.0579
1812.0,0.0,1812.0,0.0463
1813.0,0.521,1813.0,0.0463
1814.0,0.0,1814.0,0.0463
1815.0,0.0,1815.0,0.0348
1816.0,0.0,1816.0,0.0116
1817.0,0.0,1817.0,0.104
1818.0,0.0,1818.0,0.0695
1819.0,0.521,1819.0,0.0695
1820.0,0.0,1820.0,0.0463
1821.0,0.0,1821.0,0.0579
1822.0,0.0,1822.0,0.0348
1823.0,0.0,1823.0,0.0232
1824.0,0.0,1824.0,0.0463
1825.0,0.0,1825.0,0.0348
1826.0,0.0,1826.0,0.0463
1827.0,0.0,1827.0,0.0232
1828.0,0.0,1828.0,0.0232
1829.0,0.0,1829.0,0.0116
1830.0,0.0,1830.0,0.0579
1831.0,0.0,1831.0,0.0927
1832.0,0.521,1832.0,0.0811
1833.0,0.0,1833.0,0.0695
1834.0,0.0,1834.0,0.0579
1835.0,0.0,1835.0,0.0463
1836.0,0.0,1836.0,0.0579
1837.0,0.0,1837.0,0.0463
1838.0,0.0,1838.0,0.0232
1839.0,0.0,1839.0,0.0695
1840.0,0.0,1840.0,0.0232
1841.0,0.0,1841.0,0.0463
1842.0,0.0,1842.0,0.0463
1843.0,0.0,1843.0,0.0
1844.0,0.521,1844.0,0.0927
1845.0,0.0,1845.0,0.0811
1846.0,0.0,1846.0,0.0927
1847.0,0.0,1847.0,0.0811
1848.0,0.0,1848.0,0.0348
1849.0,0.0,1849.0,0.0463
1850.0,0.0,1850.0,0.0232
1851.0,0.0,1851.0,0.0695
1852.0,0.521,1852.0,0.0232
1853.0,0.0,1853.0,0.0232
1854.0,0.0,1854.0,0.0695
1855.0,0.0,1855.0,0.0116
1856.0,0.0,1856.0,0.0232
1857.0,0.0,1857.0,0.0232
1858.0,0.0,1858.0,0.0927
1859.0,0.0,1859.0,0.0927
1860.0,0.0,1860.0,0.0927
1861.0,0.0,1861.0,0.0927
1862.0,0.521,1862.0,0.0927
1863.0,0.0,1863.0,0.0579
1864.0,0.0,1864.0,0.0579
1865.0,0.0,1865.0,0.0463
1866.0,0.0,1866.0,0.0579
1867.0,0.0,1867.0,0.0695
1868.0,0.0,1868.0,0.0348
1869.0,0.0,1869.0,0.0579
1870.0,0.0,1870.0,0.0116
1871.0,0.521,1871.0,0.0463
1872.0,0.0,1872.0,0.0695
1873.0,0.0,1873.0,0.0695
1874.0,0.0,1874.0,0.0927
1875.0,0.0,1875.0,0.0927
1876.0,0.0,1876.0,0.0811
1877.0,0.0,1877.0,0.0811
1878.0,0.0,1878.0,0.0579
1879.0,0.0,1879.0,0.0463
1880.0,0.521,1880.0,0.0348
1881.0,0.0,1881.0,0.0579
1882.0,0.0,1882.0,0.0463
1883.0,0.0,1883.0,0.0579
1884.0,0.0,1884.0,0.0116
1885.0,0.0,1885.0,0.0348
1886.0,0.0,1886.0,0.0695
1887.0,0.521,1887.0,0.0695
1888.0,0.0,1888.0,0.0579
1889.0,0.0,1889.0,0.0811
1890.0,0.0,1890.0,0.0695
1891.0,0.0,1891.0,0.0811
1892.0,0.0,1892.0,0.0927
1893.0,0.0,1893.0,0.0695
1894.0,0.0,1894.0,0.0811
1895.0,0.0,1895.0,0.0579
1896.0,0.0,1896.0,0.0811
1897.0,0.0,1897.0,0.0463
1898.0,0.521,1898.0,0.0116
1899.0,0.0,1899.0,0.0348
1900.0,0.0,1900.0,0.0695
1901.0,0.0,1901.0,0.0811
1902.0,0.0,1902.0,0.0695
1903.0,0.0,1903.0,0.0811
1904.0,0.0,1904.0,0.0463
1905.0,0.521,1905.0,0.0579
1906.0,0.0,1906.0,0.0695
1907.0,0.0,1907.0,0.0695
1908.0,0.0,1908.0,0.0695
1909.0,0.0,1909.0,0.0811
1910.0,0.0,1910.0,0.0811
1911.0,0.0,1911.0,0.116
1912.0,0.0,1912.0,0.0232
1913.0,0.521,1913.0,0.0579
1914.0,0.0,1914.0,0.0579
1915.0,0.0,1915.0,0.0811
1916.0,0.0,1916.0,0.0579
1917.0,0.0,1917.0,0.0579
1918.0,0.0,1918.0,0.0695
1919.0,0.0,1919.0,0.0579
1920.0,0.0,1920.0,0.0695
1921.0,0.521,1921.0,0.0463
1922.0,0.0,1922.0,0.0695
1923.0,0.0,1923.0,0.0695
1924.0,0.0,1924.0,0.0695
1925.0,0.0,1925.0,0.0348
1926.0,0.0,1926.0,0.0579
1927.0,0.521,1927.0,0.0695
1928.0,0.0,1928.0,0.0463
1929.0,0.0,1929.0,0.0695
1930.0,0.0,1930.0,0.0811
1931.0,0.0,1931.0,0.0695
1932.0,0.0,1932.0,0.0463
1933.0,0.0,1933.0,0.0695
1934.0,0.0,1934.0,0.0811
1935.0,0.0,1935.0,0.0811
1936.0,0.0,1936.0,0.0927
1937.0,0.0,1937.0,0.0927
1938.0,0.521,1938.0,0.0695
1939.0,0.0,1939.0,0.0811
1940.0,0.0,1940.0,0.0927
1941.0,0.0,1941.0,0.0695
1942.0,0.0,1942.0,0.0811
1943.0,0.521,1943.0,0.0463
1944.0,0.0,1944.0,0.0695
1945.0,0.0,1945.0,0.0463
1946.0,0.0,1946.0,0.0695
1947.0,0.0,1947.0,0.0579
1948.0,0.0,1948.0,0.0695
1949.0,0.0,1949.0,0.0463
1950.0,0.0,1950.0,0.0348
1951.0,0.521,1951.0,0.0348
1952.0,0.0,1952.0,0.0811
1953.0,0.0,1953.0,0.0927
1954.0,0.0,1954.0,0.0695
1955.0,0.0,1955.0,0.0811
1956.0,0.0,1956.0,0.0811
1957.0,0.0,1957.0,0.0811
1958.0,0.0,1958.0,0.0811
1959.0,0.0,1959.0,0.0463
1960.0,0.521,1960.0,0.0695
1961.0,0.0,1961.0,0.0463
1962.0,0.0,1962.0,0.0695
1963.0,0.0,1963.0,0.0579
1964.0,0.0,1964.0,0.0463
1965.0,0.0,1965.0,0.0463
1966.0,0.0,1966.0,0.0695
1967.0,0.521,1967.0,0.0695
1968.0,0.0,1968.0,0.0695
1969.0,0.0,1969.0,0.0927
1970.0,0.0,1970.0,0.0811
1971.0,0.0,1971.0,0.0927
1972.0,0.0,1972.0,0.0695
1973.0,0.0,1973.0,0.0695
1974.0,0.0,1974.0,0.0463
1975.0,0.0,1975.0,0.0348
1976.0,0.0,1976.0,0.0927
1977.0,0.521,1977.0,0.0116
1978.0,0.0,1978.0,0.0463
1979.0,0.0,1979.0,0.0811
1980.0,0.0,1980.0,0.0695
1981.0,0.0,1981.0,0.0695
1982.0,0.0,1982.0,0.0811
1983.0,0.521,1983.0,0.0811
1984.0,0.0,1984.0,0.0695
1985.0,0.0,1985.0,0.0695
1986.0,0.0,1986.0,0.0811
1987.0,0.0,1987.0,0.0463
1988.0,0.0,1988.0,0.0695
1989.0,0.0,1989.0,0.0811
1990.0,0.0,1990.0,0.0116
1991.0,0.0,1991.0,0.0348
1992.0,0.521,1992.0,0.0811
1993.0,0.0,1993.0,0.0579
1994.0,0.0,1994.0,0.0695
1995.0,0.0,1995.0,0.0695
1996.0,0.0,1996.0,0.0579
1997.0,0.0,1997.0,0.0463
1998.0,0.0,1998.0,0.0579
1999.0,0.0,1999.0,0.0232
2000.0,0.0,2000.0,0.0579
2001.0,0.521,2001.0,0.0579
2002.0,0.0,2002.0,0.0579
2003.0,0.0,2003.0,0.0232
2004.0,0.0,2004.0,0.0348
2005.0,0.0,2005.0,0.0811
2006.0,0.0,2006.0,0.0579
2007.0,0.0,2007.0,0.0579
2008.0,0.0,2008.0,0.0579
2009.0,0.0,2009.0,0.0695
2010.0,0.521,2010.0,0.0811
2011.0,0.0,2011.0,0.0463
2012.0,0.0,2012.0,0.0695
2013.0,0.0,2013.0,0.0463
2014.0,0.0,2014.0,0.0463
2015.0,0.0,2015.0,0.0579
2016.0,0.0,2016.0,0.0
2017.0,0.0,2017.0,0.0579
2018.0,0.521,2018.0,0.0579
2019.0,0.0,2019.0,0.0579
2020.0,0.0,2020.0,0.0579
2021.0,0.0,2021.0,0.0579
2022.0,0.0,2022.0,0.0579
2023.0,0.0,2023.0,0.0579
2024.0,0.0,2024.0,0.0579
2025.0,0.0,2025.0,0.0579
2026.0,0.0,2026.0,0.0463
2027.0,0.0,2027.0,0.0463
2028.0,0.0,2028.0,0.0579
2029.0,0.0,2029.0,0.0463
2030.0,0.521,2030.0,0.0348
2031.0,0.0,2031.0,0.0579
2032.0,0.0,2032.0,0.0579
2033.0,0.0,2033.0,0.0463
2034.0,0.0,2034.0,0.0579
2035.0,0.0,2035.0,0.0463
2036.0,0.0,2036.0,0.0579
2037.0,0.0,2037.0,0.0463
2038.0,0.0,2038.0,0.0579
2039.0,0.521,2039.0,0.0463
2040.0,0.0,2040.0,0.0463
2041.0,0.0,2041.0,0.0463
2042.0,0.0,2042.0,0.0463
2043.0,0.0,2043.0,0.0579
2044.0,0.0,2044.0,0.0463
2045.0,0.0,2045.0,0.0579
2046.0,0.0,2046.0,0.0579
2047.0,0.0,2047.0,0.0463
2048.0,0.0,2048.0,0.0579
2049.0,0.521,2049.0,0.0463
2050.0,0.0,2050.0,0.0463
2051.0,0.0,2051.0,0.0695
2052.0,0.0,2052.0,0.0579
2053.0,0.0,2053.0,0.0463
2054.0,0.0,2054.0,0.0579
2055.0,0.0,2055.0,0.0463
2056.0,0.0,2056.0,0.0695
2057.0,0.0,2057.0,0.0463
2058.0,0.521,2058.0,0.0695
2059.0,0.0,2059.0,0.0695
2060.0,0.0,2060.0,0.0463
2061.0,0.0,2061.0,0.0579
2062.0,0.0,2062.0,0.0695
2063.0,0.0,2063.0,0.0579
2064.0,0.0,2064.0,0.0579
2065.0,0.0,2065.0,0.0579
2066.0,0.0,2066.0,0.0695
2067.0,0.0,2067.0,0.0463
2068.0,0.521,2068.0,0.0695
2069.0,0.0,2069.0,0.0116
2070.0,0.0,2070.0,0.0463
2071.0,0.0,2071.0,0.0695
2072.0,0.0,2072.0,0.0579
2073.0,0.0,2073.0,0.0579
2074.0,0.0,2074.0,0.0579
2075.0,0.0,2075.0,0.0579
2076.0,0.0,2076.0,0.0579
2077.0,0.0,2077.0,0.0579
2078.0,0.521,2078.0,0.0579
2079.0,0.0,2079.0,0.0695
2080.0,0.0,2080.0,0.0579
2081.0,0.0,2081.0,0.0695
2082.0,0.0,2082.0,0.0811
2083.0,0.0,2083.0,0.0348
2084.0,0.0,2084.0,0.0579
2085.0,0.521,2085.0,0.0579
2086.0,0.0,2086.0,0.0463
2087.0,0.0,2087.0,0.0579
2088.0,0.0,2088.0,0.0463
2089.0,0.0,2089.0,0.0579
2090.0,0.0,2090.0,0.0695
2091.0,0.0,2091.0,0.0579
2092.0,0.0,2092.0,0.0579
2093.0,0.0,2093.0,0.0695
2094.0,0.0,2094.0,0.0579
2095.0,0.0,2095.0,0.0695
2096.0,0.521,2096.0,0.0463
2097.0,0.0,2097.0,0.0463
2098.0,0.0,2098.0,0.0811
2099.0,0.0,2099.0,0.0579
2100.0,0.0,2100.0,0.0463
2101.0,0.0,2101.0,0.0579
2102.0,0.0,2102.0,0.0695
2103.0,0.0,2103.0,0.0463
2104.0,0.0,2104.0,0.0579
2105.0,0.521,2105.0,0.0695
2106.0,0.0,2106.0,0.0579
2107.0,0.0,2107.0,0.0579
2108.0,0.0,2108.0,0.0579
2109.0,0.0,2109.0,0.0463
2110.0,0.0,2110.0,0.0463
2111.0,0.0,2111.0,0.0695
2112.0,0.521,2112.0,0.0811
2113.0,0.0,2113.0,0.0463
2114.0,0.0,2114.0,0.0463
2115.0,0.0,2115.0,0.0579
2116.0,0.0,2116.0,0.0463
2117.0,0.0,2117.0,0.0463
2118.0,0.0,2118.0,0.0579
2119.0,0.0,2119.0,0.0463
2120.0,0.0,2120.0,0.0579
